AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202411,PF,PJ,NORDESTE,SUL,até 19 anos,Nao se aplica,MANU,P2B,Pix,"499293,42",3044
202411,PF,PF,Nao informado,SUL,entre 20 e 29 anos,até 19 anos,QRES,P2P,Pix,"7006,5",88
202411,PF,PF,NORTE,SUDESTE,mais de 60 anos,mais de 60 anos,MANU,P2P,Pix,"3560778,76",2897
202411,PJ,PF,Nao informado,CENTRO-OESTE,Nao se aplica,até 19 anos,MANU,B2P,Pix,1591,2
202411,PF,PJ,Nao informado,Nao informado,mais de 60 anos,Nao se aplica,DICT,P2B,Pix,"55606,05",108
202411,PF,PF,Nao informado,SUL,entre 20 e 29 anos,entre 20 e 29 anos,MANU,P2P,Pix,"407415,08",1940
202411,PF,PF,NORTE,Nao informado,entre 40 e 49 anos,entre 30 e 39 anos,MANU,P2P,Pix,"613378,01",4675
202411,PF,PJ,SUL,NORTE,entre 30 e 39 anos,Nao se aplica,QRDN,P2B,Pix Saque,"654,86",7
202411,PF,PJ,CENTRO-OESTE,SUL,entre 40 e 49 anos,Nao se aplica,DICT,P2B,Pix,"129747215,16",84158
202411,PF,PF,NORTE,CENTRO-OESTE,mais de 60 anos,entre 20 e 29 anos,Nao disponivel,P2P,Nao disponivel,"6947,55",25
202411,PF,PF,CENTRO-OESTE,NORDESTE,entre 40 e 49 anos,entre 40 e 49 anos,QRDN,P2P,Pix,"1061072,91",30082
202411,PF,PF,NORTE,NORTE,entre 20 e 29 anos,mais de 60 anos,MANU,P2P,Pix,"58843512,93",417695
202411,PF,PJ,Nao informado,NORTE,entre 40 e 49 anos,Nao se aplica,MANU,P2B,Pix,"1398240,88",481
202411,PF,PF,CENTRO-OESTE,SUDESTE,entre 50 e 59 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,"57928,91",285
202411,PF,PJ,NORDESTE,SUL,mais de 60 anos,Nao se aplica,QRDN,P2G,Pix,"239515,89",236
202411,PF,PF,NORDESTE,CENTRO-OESTE,entre 20 e 29 anos,entre 30 e 39 anos,MANU,P2P,Pix,"17336808,54",130133
202411,PF,PF,NORDESTE,CENTRO-OESTE,mais de 60 anos,entre 40 e 49 anos,MANU,P2P,Pix,"15236138,89",8265
202411,PF,PF,SUL,CENTRO-OESTE,entre 40 e 49 anos,entre 40 e 49 anos,MANU,P2P,Pix,"6831936,74",11910
202411,PF,PF,NORDESTE,Nao informado,até 19 anos,entre 30 e 39 anos,QRES,P2P,Pix,"7435,45",564
202411,PF,PF,NORTE,CENTRO-OESTE,entre 30 e 39 anos,entre 20 e 29 anos,DICT,P2P,Pix,"49230805,09",242505
202411,PF,PF,SUDESTE,SUL,entre 50 e 59 anos,entre 30 e 39 anos,QRDN,P2P,Pix,"393377,57",7933
202411,PJ,PJ,Nao informado,NORTE,Nao se aplica,Nao se aplica,QRDN,B2G,Pix,"3300,8",21
202411,PF,PF,NORDESTE,CENTRO-OESTE,entre 30 e 39 anos,entre 50 e 59 anos,Nao disponivel,P2P,Nao disponivel,"96623,83",391
202411,PF,PF,CENTRO-OESTE,SUL,mais de 60 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,"11524,81",31
202411,PF,PF,NORDESTE,Nao informado,entre 40 e 49 anos,entre 40 e 49 anos,QRES,P2P,Pix,"79536,98",1723
202411,PJ,PF,SUL,SUDESTE,Nao se aplica,entre 30 e 39 anos,MANU,G2P,Pix,"11900,48",16
202411,PF,PF,SUL,SUDESTE,entre 50 e 59 anos,entre 50 e 59 anos,MANU,P2P,Pix,"6610027,89",17280
202411,PF,PF,CENTRO-OESTE,SUL,mais de 60 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,"19220,95",29
202411,PJ,PF,Nao informado,SUL,Nao se aplica,entre 30 e 39 anos,MANU,B2P,Pix,"466217,73",120
202411,PJ,PJ,SUL,SUL,Nao se aplica,Nao se aplica,Nao disponivel,B2B,Nao disponivel,"255313675,7",46737
202411,PF,PJ,Nao informado,SUDESTE,mais de 60 anos,Nao se aplica,MANU,P2B,Pix,"1953546,09",611
202411,PF,PF,CENTRO-OESTE,NORDESTE,até 19 anos,mais de 60 anos,MANU,P2P,Pix,"146568,9",2260
202411,PF,PF,CENTRO-OESTE,NORDESTE,entre 50 e 59 anos,entre 30 e 39 anos,QRES,P2P,Pix,"1151695,09",20254
202411,PJ,PJ,NORTE,CENTRO-OESTE,Nao se aplica,Nao se aplica,QRES,B2B,Pix,"17158728,57",14551
202411,PF,PF,NORTE,NORTE,entre 20 e 29 anos,entre 30 e 39 anos,INIC,P2P,Pix,"2,05",2
202411,PF,PF,Nao informado,NORTE,entre 20 e 29 anos,mais de 60 anos,QRDN,P2P,Pix,"3906,25",177
202411,PJ,PF,SUDESTE,CENTRO-OESTE,Nao se aplica,entre 40 e 49 anos,QRES,B2P,Pix,"2006955,39",6133
202411,PJ,PF,CENTRO-OESTE,Nao informado,Nao se aplica,entre 50 e 59 anos,MANU,B2P,Pix,"2355283,14",146
202411,PF,PF,SUL,CENTRO-OESTE,entre 30 e 39 anos,mais de 60 anos,MANU,P2P,Pix,"3183571,88",4334
202411,PF,PJ,NORTE,SUDESTE,mais de 60 anos,Nao se aplica,QRDN,P2B,Pix Saque,"41277,05",186
202411,PJ,PF,NORDESTE,NORDESTE,Nao se aplica,entre 30 e 39 anos,DICT,B2P,Pix,"8234476311,14",12721968
202411,PF,PF,CENTRO-OESTE,NORTE,entre 20 e 29 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,"25130,48",95
202411,PF,PJ,Nao informado,NORDESTE,Nao informado,Nao se aplica,DICT,P2B,Pix,"38,65",9
202411,PF,PF,SUDESTE,Nao informado,entre 40 e 49 anos,Nao informado,QRES,P2P,Pix,7,7
202411,PF,PF,NORTE,Nao informado,até 19 anos,entre 20 e 29 anos,Nao disponivel,P2P,Nao disponivel,272,5
202411,PJ,PF,NORDESTE,Nao informado,Nao se aplica,entre 50 e 59 anos,DICT,B2P,Pix,"2408220,91",3341
202411,PF,PF,SUL,NORDESTE,entre 40 e 49 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,"30537,39",59
202411,PF,PF,CENTRO-OESTE,Nao informado,entre 20 e 29 anos,entre 50 e 59 anos,QRES,P2P,Pix,"15492,93",377
202411,PF,PJ,Nao informado,SUL,até 19 anos,Nao se aplica,MANU,P2G,Pix,10,1
202411,PJ,PF,CENTRO-OESTE,SUDESTE,Nao se aplica,entre 30 e 39 anos,DICT,B2P,Pix,"340607967,12",397932
202411,PF,PF,NORDESTE,SUL,entre 30 e 39 anos,até 19 anos,DICT,P2P,Pix,"3869089,96",39021
202411,PF,PF,NORTE,NORTE,entre 50 e 59 anos,até 19 anos,QRDN,P2P,Pix,"530080,35",17206
202411,PF,PF,NORDESTE,CENTRO-OESTE,entre 20 e 29 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,"295345,27",1951
202411,PJ,PF,SUL,CENTRO-OESTE,Nao se aplica,mais de 60 anos,MANU,B2P,Pix,"160387720,97",10140
202411,PF,PF,NORTE,SUL,entre 50 e 59 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,"10513,77",46
202411,PF,PJ,CENTRO-OESTE,CENTRO-OESTE,entre 50 e 59 anos,Nao se aplica,QRES,P2G,Pix,"436839,08",4537
202411,PF,PF,NORDESTE,NORTE,mais de 60 anos,entre 30 e 39 anos,MANU,P2P,Pix,"2911811,7",11087
202411,PF,PF,NORTE,NORDESTE,entre 20 e 29 anos,mais de 60 anos,QRES,P2P,Pix,"874835,17",27613
202411,PF,PF,NORTE,SUDESTE,entre 40 e 49 anos,entre 40 e 49 anos,MANU,P2P,Pix,"7657641,69",35987
202411,PJ,PF,CENTRO-OESTE,SUL,Nao se aplica,entre 30 e 39 anos,DICT,G2P,Pix,"3897204,41",3468
202411,PF,PF,CENTRO-OESTE,NORDESTE,entre 50 e 59 anos,entre 50 e 59 anos,QRDN,P2P,Pix,"248366,65",6145
202411,PJ,PF,CENTRO-OESTE,NORTE,Nao se aplica,mais de 60 anos,DICT,B2P,Pix,"36610519,24",19879
202411,PJ,PJ,Nao informado,NORDESTE,Nao se aplica,Nao se aplica,QRES,B2B,Pix,"212264,51",547
202411,PJ,PF,NORDESTE,Nao informado,Nao se aplica,até 19 anos,MANU,B2P,Pix,"83579,49",39
202411,PF,PF,NORDESTE,SUDESTE,entre 20 e 29 anos,até 19 anos,DICT,P2P,Pix,"28820992,09",372809
202411,PF,PJ,Nao informado,CENTRO-OESTE,entre 50 e 59 anos,Nao se aplica,QRDN,P2B,Pix,"346315,79",2563
